language,name,family,low_resource,n,iou_cluster_mask_mean,iou_cluster_mask_std,iou_pct_95_mean,iou_pct_95_std,spearman_mean,spearman_std,pearson_mean,pearson_std,peak_lang_mean,peak_lang_std,mean_lang_mean,mean_lang_std,n_clusters_lang_mean,n_clusters_lang_std,center_dist_symmetric_mean,center_dist_symmetric_std
en,English,Germanic,False,2310,1.0,0.0,1.0,0.0,1.0,5.559523178547589e-17,0.9999999601345557,6.02549139360472e-08,0.2018154957787299,0.024221138714276287,0.1443670098560971,0.022347563259230874,5.583982683982684,1.682097846610802,0.0,0.0
de,German,Germanic,False,2310,0.6356691643446636,0.10732602823325628,0.4696671535717125,0.1796304158276017,0.8965828103969168,0.05766522746849131,0.9099517141843771,0.04888141192078216,0.19595399134796418,0.02698183032973233,0.13283303786407819,0.023764947543005253,5.699134199134199,1.7897134335624314,25.631023778319687,15.500496976667193
lb,Luxembourgish,Germanic,True,2310,0.4639788461041809,0.17941552254157686,0.27657036278045166,0.20653543024838497,0.6673009280532765,0.2684322750923401,0.6797525100244685,0.27130146186269627,0.1866129997908037,0.027955369622726187,0.1351919692767647,0.028260665349078697,5.496536796536796,1.7638239854641673,37.483095390956876,17.679146490013807
eu,Basque,Isolate,True,2310,0.4993652660706793,0.16714665907611181,0.324461065249151,0.2099094979150163,0.717724289177634,0.23998187318659042,0.7308603775433519,0.24529221438132875,0.18523739800824748,0.02133470427948438,0.12752921620617697,0.018815133015689257,5.653246753246753,1.747763608365808,34.48755038242393,17.52922954669526
ca,Catalan,Romance,False,2310,0.6252822286812482,0.11195314655127254,0.46501612721868,0.18654985334478885,0.8898871557322899,0.0686400881294325,0.9032110605405007,0.06120140759698013,0.18911784087102135,0.022858067392382046,0.12663777923751704,0.021580203416969954,5.816017316017316,1.7486996170015132,26.382240680956777,15.655764117567713
es,Spanish,Romance,False,2310,0.6535185924893648,0.1004752591533808,0.4930463003192966,0.17806876058906124,0.9120859674140883,0.05009427667032334,0.9233160542203235,0.04349331155539426,0.19450787490645013,0.022006162310973736,0.13216966183541656,0.019165359471323286,5.710822510822511,1.711908894955998,24.72934291247533,14.7952356659003
fr,French,Romance,False,2310,0.6449780436695538,0.1101262476380447,0.48666217826545144,0.17948399017376024,0.8996839055116552,0.06286094800410506,0.9117039847941626,0.054846235631131134,0.19443724919836242,0.023377100869447377,0.13409984577850345,0.020736383159641034,5.732900432900433,1.7090439846055454,25.100164244192385,14.503956239148717
it,Italian,Romance,False,2310,0.6516532453857525,0.10241294752057623,0.4897406307986507,0.17891299064354244,0.9090268573383503,0.05151938605940091,0.9205340007940929,0.044869263374290855,0.19196562561573405,0.02240125581619414,0.12907694344332207,0.018774165108709797,5.705194805194806,1.7525873544467068,24.880513475608666,14.930594221518874
pt,Portuguese,Romance,False,2310,0.6475793512145672,0.1065516076429583,0.47580462261778383,0.18010432581009128,0.9035819992551604,0.06291700902288298,0.9149717231849571,0.05531239003037638,0.199513667802532,0.022123587996367693,0.13707329014808067,0.018482765453368504,5.64978354978355,1.7288817199666553,25.176648997052244,14.607412031543802
ar,Arabic,Semitic,True,2310,0.5300285185669539,0.1308768164708714,0.35069965030157146,0.18864869962608072,0.7970321895469401,0.12033641057348746,0.8179516354551563,0.11006682943056477,0.2150888856677782,0.02134105695281801,0.15316386143172975,0.016731995771089095,5.384415584415584,1.726495806553607,32.506155630483136,16.776373567173984
zh-CN,Chinese (Simplified),Sinitic,False,2310,0.5334194491917231,0.12330139952724152,0.34921585685265516,0.18427519710522358,0.8138433319535595,0.11650835816312084,0.8352283486201392,0.1078291406413995,0.21115310510128607,0.02459886938707337,0.1452213456684893,0.021866975415754955,5.442857142857143,1.7490896156850666,31.760634954128705,16.11472041704072
zh-TW,Chinese (Traditional),Sinitic,False,2310,0.5630062117746243,0.12081302860068034,0.3856021866578778,0.18572560546571915,0.8390156485985406,0.10706145643127157,0.8573247386457084,0.09889553153220954,0.20604573883664556,0.021384617697765635,0.14046950865036997,0.01797664047768957,5.561904761904762,1.7237353583295456,29.843474787206603,15.542450658937861
ru,Russian,Slavic,False,2310,0.5551981304621048,0.11858794549521298,0.36917863830942643,0.17849485214253485,0.8224256202475484,0.10540147877785162,0.8402234893147047,0.09703203363630952,0.19436487778698727,0.021176411365464724,0.13212982525815178,0.02035255400593808,5.646753246753247,1.7311442440850442,31.38444477493946,15.701093110030525
