language,name,family,low_resource,n,iou_cluster_mask_mean,iou_cluster_mask_std,iou_pct_95_mean,iou_pct_95_std,spearman_mean,spearman_std,pearson_mean,pearson_std,peak_lang_mean,peak_lang_std,mean_lang_mean,mean_lang_std,n_clusters_lang_mean,n_clusters_lang_std,center_dist_symmetric_mean,center_dist_symmetric_std
en,English,Germanic,False,2310,1.0,0.0,1.0,0.0,1.0,5.554720133868219e-17,0.9999999617343341,5.806067432092265e-08,0.17730123989638827,0.025639513466475406,0.1100809681596178,0.0173068879431436,20.12121212121212,4.491851079212908,0.0,0.0
de,German,Germanic,False,2310,0.6209797421152677,0.08278159808482627,0.5026151270876608,0.14939197274029725,0.9055990275279755,0.047090353146820786,0.9182915921593126,0.04124452345555117,0.16222932107778854,0.021588926345487095,0.09361456827103318,0.012497714799782024,21.194805194805195,4.379187047326123,12.322279790376106,3.9649156144537905
lb,Luxembourgish,Germanic,True,2310,0.3875381761782711,0.16569839018469604,0.22347733643534856,0.17292870152174122,0.5769374875240851,0.3174778596871991,0.5907419575452885,0.3238051822995749,0.1524565398596324,0.02231120170474651,0.09073712228761091,0.014457891076748679,21.35151515151515,4.279564061502626,18.587575854207657,4.949797722150217
eu,Basque,Isolate,True,2310,0.4438280735227738,0.18983590912861986,0.3091046267331158,0.21194525018918103,0.6508484644768984,0.32129384816253154,0.6688487814517603,0.3232507997678618,0.16045412697639816,0.022504038449939926,0.09880196733230895,0.014121464251754373,20.47099567099567,4.193023382806763,17.163017080618467,5.629522358722713
ca,Catalan,Romance,False,2310,0.6101576297526122,0.10166382953842507,0.5010504497826629,0.15277575617443154,0.8845459984509594,0.09406507278262242,0.8992420719686525,0.09033299830730118,0.1672499793013195,0.020267452839456856,0.10174422909171034,0.01036302309870934,21.013419913419913,4.13514571070985,12.638323950379963,4.0793404934281385
es,Spanish,Romance,False,2310,0.6512102813948832,0.09075754122658897,0.5394444436890409,0.15225366526098136,0.9187325067264374,0.04995728644781748,0.9311854611227522,0.04448816458879633,0.17002341772119203,0.02127361743975236,0.10357924025038104,0.01125200726648213,20.393939393939394,4.224304030695286,11.770291799760527,3.971464168867594
fr,French,Romance,False,2310,0.6236830900172903,0.08408105959782589,0.4812003072114931,0.14518849749960422,0.906044454334371,0.04928074731260446,0.9193234930048774,0.045342276020771274,0.1643729801076057,0.021346968603902717,0.098398319022222,0.012436202600272232,20.75974025974026,4.479666579701053,12.582879300626928,3.8674709395097344
it,Italian,Romance,False,2310,0.6151639873880016,0.08778308493915908,0.47655856155199605,0.15168589321739687,0.8953996309774173,0.06050347755630938,0.9099661899077428,0.056928817309290704,0.16643014678900891,0.020590865408647276,0.10027634410502075,0.010245973241937902,20.5004329004329,4.262880746568309,12.7795706829558,3.848326867680242
pt,Portuguese,Romance,False,2310,0.62699120419919,0.09349699031093112,0.4957732670720574,0.15810238020180845,0.9062374106213429,0.058089307535144796,0.9213943200193958,0.05171342400380499,0.16798173737151798,0.02203692723808494,0.10260287783072367,0.01260042753937238,20.414285714285715,4.141317474553824,12.4609908063318,4.009593622438535
ar,Arabic,Semitic,True,2310,0.5627975141654943,0.1044374710863818,0.40140544225647334,0.16264771450321822,0.8555882975334075,0.08575542432115511,0.8753525742591718,0.07786016955625354,0.16455112930500146,0.020390677248150166,0.10222490636946319,0.010132677665330821,19.751082251082252,4.0672067520754736,14.636766800716414,4.295973028114466
zh-CN,Chinese (Simplified),Sinitic,False,2310,0.5728400271672434,0.1060574183303929,0.4578014323050387,0.16761543195387085,0.8725236034887317,0.07945727080168319,0.8888616609108912,0.07210660588390286,0.17076639991366502,0.02437491286288407,0.09498709607143681,0.015978948491266326,22.76753246753247,4.439876243162325,13.043606632184177,3.866366593430557
zh-TW,Chinese (Traditional),Sinitic,False,2310,0.5739490799913509,0.11509899019270636,0.45500490596335974,0.17084481818781352,0.8606012489615454,0.10214668133489309,0.8761913596551656,0.09255997467180084,0.1692976953534337,0.02244439273810091,0.0952472654546236,0.012466354872150552,22.186147186147185,4.363911448598252,13.18748332210075,4.006537400444488
ru,Russian,Slavic,False,2310,0.5730504072196649,0.11310523576055255,0.4221059929691332,0.1726194768591989,0.862579263289247,0.10103603026909769,0.8829276670754214,0.09044388148114116,0.16186496171600376,0.02115465209812941,0.0968839737453631,0.01145574673837647,19.996969696969696,4.26874277915983,14.234520377857391,4.498085326113011
