lang,lang_name,family,low_resource,iou_base,iou_large,delta
es,Spanish,Romance,False,0.6535185924893648,0.6512102813948832,-0.0023083110944815965
fr,French,Romance,False,0.6449780436695538,0.6236830900172903,-0.021294953652263526
it,Italian,Romance,False,0.6516532453857525,0.6151639873880016,-0.036489257997750935
pt,Portuguese,Romance,False,0.6475793512145672,0.62699120419919,-0.020588147015377256
ca,Catalan,Romance,False,0.6252822286812482,0.6101576297526122,-0.015124598928635935
de,German,Germanic,False,0.6356691643446636,0.6209797421152677,-0.014689422229395843
lb,Luxembourgish,Germanic,True,0.4639788461041809,0.3875381761782711,-0.07644066992590981
ru,Russian,Slavic,False,0.5551981304621048,0.5730504072196649,0.01785227675756018
ar,Arabic,Semitic,True,0.5300285185669539,0.5627975141654943,0.03276899559854041
eu,Basque,Isolate,True,0.4993652660706793,0.4438280735227738,-0.05553719254790551
zh-CN,Chinese (Simp.),Sinitic,False,0.5334194491917231,0.5728400271672434,0.03942057797552023
zh-TW,Chinese (Trad.),Sinitic,False,0.5630062117746243,0.5739490799913509,0.010942868216726631
