,center_dist_symmetric,center_dist_symmetric,iou_cluster_mask,iou_cluster_mask,iou_pct_95,iou_pct_95,peak_lang,peak_lang,peak_ratio_lang_over_ref,peak_ratio_lang_over_ref,spearman,spearman
backbone,dense_clip_xlmr_base,dense_clip_xlmr_large,dense_clip_xlmr_base,dense_clip_xlmr_large,dense_clip_xlmr_base,dense_clip_xlmr_large,dense_clip_xlmr_base,dense_clip_xlmr_large,dense_clip_xlmr_base,dense_clip_xlmr_large,dense_clip_xlmr_base,dense_clip_xlmr_large
lang,,,,,,,,,,,,
en,0.0,0.0,1.0,1.0,1.0,1.0,0.2018154957787299,0.17730123989638827,1.0,1.0,1.0,1.0
es,24.72934291247533,11.770291799760527,0.6535185924893648,0.6512102813948832,0.4930463003192966,0.5394444436890409,0.19450787490645013,0.17002341772119203,0.9680328494943625,0.964361690245649,0.9120859674140883,0.9187325067264374
fr,25.100164244192385,12.582879300626928,0.6449780436695538,0.6236830900172903,0.48666217826545144,0.4812003072114931,0.19443724919836242,0.1643729801076057,0.9655864842457829,0.932675317363219,0.8996839055116552,0.906044454334371
it,24.880513475608666,12.7795706829558,0.6516532453857525,0.6151639873880016,0.4897406307986507,0.47655856155199605,0.19196562561573405,0.16643014678900891,0.9535397110623418,0.9447800883933635,0.9090268573383503,0.8953996309774173
pt,25.176648997052244,12.4609908063318,0.6475793512145672,0.62699120419919,0.47580462261778383,0.4957732670720574,0.199513667802532,0.16798173737151798,0.9925424507270308,0.9522275365909246,0.9035819992551604,0.9062374106213429
ca,26.382240680956777,12.638323950379963,0.6252822286812482,0.6101576297526122,0.46501612721868,0.5010504497826629,0.18911784087102135,0.1672499793013195,0.9416491921566408,0.9502691371332289,0.8898871557322899,0.8845459984509594
de,25.631023778319687,12.322279790376106,0.6356691643446636,0.6209797421152677,0.4696671535717125,0.5026151270876608,0.19595399134796418,0.16222932107778854,0.9718861960076195,0.9197090684661265,0.8965828103969168,0.9055990275279755
lb,37.483095390956876,18.587575854207657,0.4639788461041809,0.3875381761782711,0.27657036278045166,0.22347733643534856,0.1866129997908037,0.1524565398596324,0.9309273861272792,0.874238883350008,0.6673009280532765,0.5769374875240851
ru,31.38444477493946,14.234520377857391,0.5551981304621048,0.5730504072196649,0.36917863830942643,0.4221059929691332,0.19436487778698727,0.16186496171600376,0.968371524248062,0.918466360913447,0.8224256202475484,0.862579263289247
ar,32.506155630483136,14.636766800716414,0.5300285185669539,0.5627975141654943,0.35069965030157146,0.40140544225647334,0.2150888856677782,0.16455112930500146,1.0728502767386463,0.9367833069878866,0.7970321895469401,0.8555882975334075
eu,34.48755038242393,17.163017080618467,0.4993652660706793,0.4438280735227738,0.324461065249151,0.3091046267331158,0.18523739800824748,0.16045412697639816,0.9286301544997647,0.9153884429592808,0.717724289177634,0.6508484644768984
zh-CN,31.760634954128705,13.043606632184177,0.5334194491917231,0.5728400271672434,0.34921585685265516,0.4578014323050387,0.21115310510128607,0.17076639991366502,1.051843478774629,0.9689128450755973,0.8138433319535595,0.8725236034887317
zh-TW,29.843474787206603,13.18748332210075,0.5630062117746243,0.5739490799913509,0.3856021866578778,0.45500490596335974,0.20604573883664556,0.1692976953534337,1.0279936407347914,0.961217702928551,0.8390156485985406,0.8606012489615454
